,Rank,Player,POS,AVG
0,1.0,Adrian Peterson,RB1,1.0
1,2.0,Le'Veon Bell,RB2,3.0
2,3.0,Eddie Lacy,RB3,3.0
3,4.0,Jamaal Charles,RB4,3.3
4,5.0,Marshawn Lynch,RB5,4.8
5,6.0,Antonio Brown,WR1,6.8
6,7.0,Dez Bryant,WR2,10.2
7,8.0,Andrew Luck,QB1,10.8
8,9.0,Matt Forte,RB6,10.8
9,10.0,C.J. Anderson,RB7,11.3
10,11.0,DeMarco Murray,RB8,12.0
11,12.0,Rob Gronkowski,TE1,12.2
12,13.0,Aaron Rodgers,QB2,12.3
13,14.0,Demaryius Thomas,WR3,12.5
14,15.0,Jeremy Hill,RB9,14.0
15,16.0,Julio Jones,WR4,14.0
16,17.0,Odell Beckham Jr.,WR5,14.5
17,18.0,Calvin Johnson,WR6,16.8
18,19.0,LeSean McCoy,RB10,18.0
19,20.0,Randall Cobb,WR7,20.3
20,21.0,A.J. Green,WR8,20.3
21,22.0,T.Y. Hilton,WR9,24.2
22,23.0,Justin Forsett,RB11,24.5
23,24.0,Alshon Jeffery,WR10,25.3
24,25.0,Jimmy Graham,TE2,27.5
25,26.0,Lamar Miller,RB12,28.7
26,27.0,Mike Evans,WR11,29.2
27,28.0,Mark Ingram II,RB13,29.8
28,29.0,Peyton Manning,QB3,30.0
29,30.0,Brandin Cooks,WR12,31.5
30,31.0,Frank Gore,RB14,32.2
31,32.0,Emmanuel Sanders,WR13,32.7
32,33.0,DeAndre Hopkins,WR14,34.7
33,34.0,Russell Wilson,QB4,35.5
34,35.0,Drew Brees,QB5,35.5
35,36.0,Alfred Morris,RB15,35.8
36,37.0,Jordan Matthews,WR15,36.0
37,38.0,Melvin Gordon III,RB16,36.3
38,39.0,Latavius Murray,RB17,39.2
39,40.0,Carlos Hyde,RB18,41.0
40,41.0,Andre Johnson,WR16,43.8
41,42.0,Amari Cooper,WR17,47.0
42,43.0,Greg Olsen,TE3,47.0
43,44.0,Ben Roethlisberger,QB6,47.2
44,45.0,Julian Edelman,WR18,47.2
45,46.0,Andre Ellington,RB19,48.3
46,47.0,Golden Tate,WR19,50.7
47,48.0,Jonathan Stewart,RB20,52.5
48,49.0,Travis Kelce,TE4,52.5
49,50.0,Keenan Allen,WR20,54.2
50,51.0,Jeremy Maclin,WR21,54.5
51,52.0,Joseph Randle,RB21,55.0
52,53.0,DeSean Jackson,WR22,55.2
53,54.0,Matt Ryan,QB7,57.0
54,55.0,Arian Foster,RB22,58.2
55,56.0,Tony Romo,QB8,58.2
56,57.0,Sammy Watkins,WR23,59.2
57,58.0,Tom Brady,QB9,61.0
58,59.0,Brandon Marshall,WR24,61.0
59,60.0,Jarvis Landry,WR25,62.8
60,61.0,Martellus Bennett,TE5,64.0
61,62.0,Davante Adams,WR26,65.3
62,63.0,T.J. Yeldon,RB23,66.7
63,64.0,Seattle Seahawks,DST1,67.8
64,65.0,Todd Gurley II,RB24,69.7
65,66.0,Vincent Jackson,WR27,70.3
66,67.0,Chris Ivory,RB25,71.3
67,68.0,Ameer Abdullah,RB26,72.3
68,69.0,LeGarrette Blount,RB27,72.8
69,70.0,Rashad Jennings,RB28,73.3
70,71.0,Joique Bell,RB29,73.5
71,72.0,Doug Martin,RB30,74.8
72,73.0,Matthew Stafford,QB10,77.3
73,74.0,Jason Witten,TE6,77.7
74,75.0,Martavis Bryant,WR28,81.7
75,76.0,C.J. Spiller,RB31,82.0
76,77.0,Buffalo Bills,DST2,82.3
77,78.0,Giovani Bernard,RB32,82.3
78,79.0,Allen Robinson II,WR29,83.5
79,80.0,Houston Texans,DST3,84.2
80,81.0,Mike Wallace,WR30,85.7
81,82.0,Nelson Agholor,WR31,86.7
82,83.0,Eli Manning,QB11,89.2
83,84.0,Cam Newton,QB12,89.3
84,85.0,Steve Smith,WR32,89.7
85,86.0,Jordan Cameron,TE7,91.5
86,87.0,Ryan Tannehill,QB13,92.7
87,88.0,Stephen Gostkowski,K1,95.0
88,89.0,Charles Johnson,WR33,97.3
89,90.0,Tevin Coleman,RB33,97.3
90,91.0,Isaiah Crowell,RB34,97.5
91,92.0,Larry Fitzgerald,WR34,98.5
92,93.0,Roddy White,WR35,99.2
93,94.0,Los Angeles Rams,DST4,99.8
94,95.0,Philip Rivers,QB14,101.3
95,96.0,John Brown,WR36,102.0
96,97.0,Alfred Blue,RB35,104.2
97,98.0,Victor Cruz,WR37,105.0
98,99.0,Ryan Mathews,RB36,105.3
99,100.0,Sam Bradford,QB15,107.7
100,101.0,Eric Decker,WR38,108.0
101,102.0,Tre Mason,RB37,109.3
102,103.0,Torrey Smith,WR39,110.3
103,104.0,Anquan Boldin,WR40,110.5
104,105.0,Delanie Walker,TE8,111.0
105,106.0,Adam Vinatieri,K2,111.7
106,107.0,Julius Thomas,TE9,112.8
107,108.0,Darren McFadden,RB38,112.8
108,109.0,Shane Vereen,RB39,117.0
109,110.0,Devonta Freeman,RB40,119.3
110,111.0,Arizona Cardinals,DST5,119.7
111,112.0,Zach Ertz,TE10,120.2
112,113.0,Philadelphia Eagles,DST6,120.5
113,114.0,Marques Colston,WR41,121.0
114,115.0,Michael Floyd,WR42,121.5
115,116.0,Devin Funchess,WR43,122.5
116,117.0,Teddy Bridgewater,QB16,123.8
117,118.0,Pierre Garcon,WR44,128.3
118,119.0,Owen Daniels,TE11,128.7
119,120.0,Kendall Wright,WR45,130.2
120,121.0,Bishop Sankey,RB41,131.0
121,122.0,Dwayne Allen,TE12,107.0
122,123.0,Green Bay Packers,DST7,134.0
123,124.0,Antonio Gates,TE13,135.7
124,125.0,Stephen Hauschka,K3,135.8
125,126.0,Darren Sproles,RB42,136.2
126,127.0,Mason Crosby,K4,136.3
127,128.0,Dan Bailey,K5,139.2
128,129.0,DeAngelo Williams,RB43,139.5
129,130.0,Terrance Williams,WR46,140.0
130,131.0,Colin Kaepernick,QB17,140.8
131,132.0,Baltimore Ravens,DST8,141.2
132,133.0,Justin Tucker,K6,141.2
133,134.0,Reggie Bush,RB44,141.3
134,135.0,New England Patriots,DST9,142.0
135,136.0,Duke Johnson Jr.,RB45,142.8
136,137.0,Tyler Eifert,TE14,143.7
137,138.0,Joe Flacco,QB18,124.0
138,139.0,Brandon LaFell,WR47,125.6
139,140.0,Miami Dolphins,DST10,125.6
140,141.0,DeVante Parker,WR48,147.3
141,142.0,Carson Palmer,QB19,147.3
142,143.0,Charles Sims,RB46,148.0
143,144.0,Denver Broncos,DST11,148.2
144,145.0,Jordy Nelson,WR49,96.5
145,146.0,Eddie Royal,WR50,129.2
146,147.0,Kyle Rudolph,TE15,150.8
147,148.0,Danny Woodhead,RB47,152.0
148,149.0,Coby Fleener,TE16,135.4
149,150.0,Vernon Davis,TE17,156.5
150,151.0,Jay Cutler,QB20,137.8
151,152.0,New York Jets,DST12,138.2
152,153.0,Percy Harvin,WR51,158.5
153,154.0,Andre Williams,RB48,160.5
154,155.0,David Johnson,RB49,161.2
155,156.0,Michael Crabtree,WR52,161.2
156,157.0,Breshad Perriman,WR53,161.3
157,158.0,Marcus Mariota,QB21,163.0
158,159.0,Cody Parkey,K7,148.6
159,160.0,Knile Davis,RB50,149.4
160,161.0,Ronnie Hillman,RB51,150.4
161,162.0,Kansas City Chiefs,DST13,168.2
162,163.0,Cody Latimer,WR54,172.3
163,164.0,Alex Smith,QB22,156.8
164,165.0,Matt Bryant,K8,173.5
165,166.0,Heath Miller,TE18,158.6
166,167.0,Jameis Winston,QB23,161.0
167,168.0,Doug Baldwin,WR55,161.2
168,169.0,Carolina Panthers,DST14,161.4
169,170.0,David Cobb,RB52,163.0
170,171.0,Steve Johnson,WR56,163.8
171,172.0,Dan Carpenter,K9,143.0
172,173.0,Derek Carr,QB24,166.2
173,174.0,Matt Prater,K10,180.7
174,175.0,Dorial Green-Beckham,WR57,180.8
175,176.0,Sebastian Janikowski,K11,184.0
176,177.0,Tyler Lockett,WR58,172.8
177,178.0,Richard Rodgers,TE19,176.0
178,179.0,Brian Quick,WR59,157.8
179,180.0,Kelvin Benjamin,WR60,161.7
180,181.0,Markus Wheaton,WR61,167.5
181,182.0,Dallas Cowboys,DST15,165.5
182,183.0,Jonas Gray,RB53,137.0
183,184.0,Nick Foles,QB25,166.0
184,185.0,Matt Jones,RB54,167.0
185,186.0,Charles Clay,TE20,168.8
186,187.0,Kenny Stills,WR62,169.0
187,188.0,Montee Ball,RB55,172.3
188,189.0,Minnesota Vikings,DST16,199.3
189,190.0,Andy Dalton,QB26,175.3
190,191.0,Kevin White,WR63,152.0
191,192.0,Brandon Coleman,WR64,177.3
192,193.0,Josh Hill,TE21,153.0
193,194.0,Fred Jackson,RB56,196.0
194,195.0,Marvin Jones Jr.,WR65,179.8
195,196.0,Rueben Randle,WR66,183.0
196,197.0,Terrance West,RB57,183.3
197,198.0,Cincinnati Bengals,DST17,183.3
198,199.0,Donte Moncrief,WR67,185.0
199,200.0,Pittsburgh Steelers,DST18,187.5
200,201.0,Denard Robinson,RB58,188.5
201,202.0,Malcom Floyd,WR68,169.0
202,203.0,Connor Barth,K12,186.7
203,204.0,Larry Donnell,TE22,171.3
204,205.0,James Jones,WR69,171.3
205,206.0,Detroit Lions,DST19,193.3
206,207.0,Blair Walsh,K13,205.6
207,208.0,Ty Montgomery,RB59,176.0
208,209.0,Phillip Dorsett II,WR70,195.0
209,210.0,San Francisco 49ers,DST20,178.0
210,211.0,New York Giants,DST21,181.0
211,212.0,Brandon McManus,K14,199.8
212,213.0,Randy Bullock,K15,148.0
213,214.0,Christine Michael,RB60,184.3
214,215.0,Eric Ebron,TE23,190.0
215,216.0,Austin Seferian-Jenkins,TE24,191.3
216,217.0,Jared Cook,TE25,213.7
217,218.0,Tyrod Taylor,QB27,192.3
218,219.0,Reggie Wayne,WR71,193.3
219,220.0,Indianapolis Colts,DST22,194.0
220,221.0,Chicago Bears,DST23,165.5
221,222.0,Roy Helu,RB61,195.7
222,223.0,Blake Bortles,QB28,213.7
223,224.0,Jordan Reed,TE26,202.0
224,225.0,James Starks,RB62,203.0
225,226.0,Mohamed Sanu Sr.,WR72,180.5
226,227.0,Khiry Robinson,RB63,208.3
227,228.0,Kirk Cousins,QB29,181.5
228,229.0,Jerick McKinnon,RB64,205.7
229,230.0,Cameron Artis-Payne,RB65,183.0
230,231.0,Phil Dawson,K16,218.8
231,232.0,Ahmad Bradshaw,RB66,251.5
232,233.0,Wes Welker,WR73,246.0
233,234.0,Dwayne Bowe,WR74,217.0
234,235.0,Robbie Gould,K17,191.5
235,236.0,Cordarrelle Patterson,RB67,194.5
236,237.0,Jeff Janis,WR75,242.3
237,238.0,Cecil Shorts,WR76,195.0
238,239.0,Stevan Ridley,RB68,210.5
239,240.0,Nick Folk,K18,220.3
240,241.0,Jaelen Strong,WR77,213.0
241,242.0,Josh Scobee,K19,201.0
242,243.0,Ladarius Green,TE27,218.3
243,244.0,Robert Griffin III,QB30,206.0
244,245.0,Allen Hurns,WR78,233.7
245,246.0,Bobby Rainey,RB69,253.5
246,247.0,Josh Brown,K20,246.7
247,248.0,Virgil Green,TE28,247.0
248,249.0,Caleb Sturgis,K21,244.3
249,250.0,Brandon Bolden,RB70,191.0
250,251.0,Nick Novak,K22,234.7
251,252.0,Jay Ajayi,RB71,193.0
252,253.0,Branden Oliver,RB72,224.5
253,254.0,Lorenzo Taliaferro,RB73,236.5
254,255.0,Chandler Catanzaro,K23,229.0
255,256.0,New Orleans Saints,DST24,200.0
256,257.0,Kenny Britt,WR79,226.5
257,258.0,Greg Zuerlein,K24,228.0
258,259.0,Theo Riddick,RB74,229.5
259,260.0,Stedman Bailey,WR80,209.0
260,261.0,Tavon Austin,WR81,239.0
261,262.0,Dan Herron,RB75,245.5
262,263.0,Leonard Hankerson,WR82,233.0
263,264.0,Cole Beasley,WR83,220.0
264,265.0,Danny Amendola,WR84,257.5
265,266.0,Andrew Hawkins,WR85,247.0
266,267.0,Greg Jennings,WR86,261.5
267,268.0,Sammie Coates,WR87,224.0
268,269.0,Los Angeles Chargers,DST25,252.0
269,270.0,Ryan Mallett,QB31,228.0
270,271.0,Atlanta Falcons,DST26,294.5
271,272.0,Ryan Fitzpatrick,QB32,231.0
272,273.0,Garrett Hartley,K25,273.5
273,274.0,Aaron Dobson,WR88,237.0
274,275.0,Washington Commanders,DST27,249.0
275,276.0,Ray Rice,RB76,239.0
276,277.0,Chris Polk,RB77,240.0
277,278.0,Chris Johnson,RB78,248.5
278,279.0,Mychal Rivera,TE29,288.0
279,280.0,Trent Richardson,RB79,246.0
280,281.0,Taylor Gabriel,WR89,247.0
281,282.0,Lance Dunbar,RB80,250.5
282,283.0,Tampa Bay Buccaneers,DST28,248.0
283,284.0,Dustin Hopkins,K26,250.0
284,285.0,James White,RB81,249.0
285,286.0,Graham Gano,K27,250.5
286,287.0,Damien Williams,RB82,299.5
287,288.0,Jacksonville Jaguars,DST29,251.0
288,289.0,Brian Hoyer,QB33,253.0
289,290.0,Jeremy Langford,RB83,255.0
290,291.0,Josh McCown,QB34,256.0
291,292.0,Cleveland Browns,DST30,258.0
292,293.0,Riley Cooper,WR90,262.0
293,294.0,Justin Hardy,WR91,264.0
294,295.0,Javorius Allen,RB84,266.0
295,296.0,Mark Sanchez,QB35,270.0
296,297.0,Maxx Williams,TE30,271.0
297,298.0,Fozzy Whittaker,RB85,274.0
298,299.0,Johnny Manziel,QB36,276.0
299,300.0,Jacquizz Rodgers,RB86,278.0
300,301.0,Brandon Weeden,QB37,281.0
301,302.0,Zac Stacy,RB87,284.0
302,303.0,Jermaine Kearse,WR92,285.0
303,304.0,Marqise Lee,WR93,286.0
304,305.0,Brock Osweiler,QB38,287.0
305,306.0,Scott Chandler,TE31,288.0
306,307.0,Josh Robinson,RB88,290.0
307,308.0,Robert Turbin,RB89,291.0
308,309.0,Benjamin Watson,TE32,292.0
309,310.0,Dri Archer,RB90,294.0
310,311.0,Devin Smith,WR94,296.0
311,312.0,Mike Nugent,K28,297.0
312,313.0,Kamar Aiken,WR95,298.0
313,314.0,Andrew Quarless,TE33,299.0
314,315.0,Geno Smith,QB39,303.0
315,316.0,Jamison Crowder,WR96,304.0
316,317.0,Jimmy Garoppolo,QB40,305.0
317,318.0,De'Anthony Thomas,WR97,306.0
318,319.0,Nick Toon,WR98,307.0
319,320.0,Marlon Brown,WR99,309.0
320,321.0,Harry Douglas,WR100,310.0
321,322.0,Chris Conley,WR101,311.0
322,323.0,Benny Cunningham Jr.,RB91,312.0
323,324.0,Brian Hartline,WR102,313.0
324,325.0,Josh Gordon,WR103,315.0
325,326.0,Robert Woods,WR104,316.0
326,327.0,Jimmy Clausen,QB41,317.0
327,328.0,Justin Hunter,WR105,318.0
328,329.0,Cairo Santos,K29,320.0
329,330.0,Garrett Graham,TE34,321.0
330,331.0,E.J. Manuel,QB42,322.0
331,332.0,Clive Walford,TE35,323.0
332,333.0,Tim Tebow,TE36,324.0
333,334.0,Matt Cassel,QB43,325.0
334,335.0,Jarius Wright,WR106,326.0
335,336.0,Hakeem Nicks,WR107,328.0
336,337.0,Gavin Escobar,TE37,329.0
337,338.0,Jacob Tamme,TE38,330.0
338,339.0,Jace Amaro,TE39,331.0
339,340.0,Marquess Wilson,WR108,332.0
340,341.0,Ryan Succop,K30,333.0
341,342.0,Ka'Deem Carey,RB92,335.0
342,343.0,James Casey,TE40,336.0
343,344.0,Corey Brown,WR109,337.0
344,345.0,Nate Washington,WR110,339.0
345,346.0,Lance Kendricks,TE41,340.0
346,347.0,Toby Gerhart,RB93,341.0
347,348.0,Kai Forbath,K31,342.0
348,349.0,Bilal Powell,RB94,343.0
349,350.0,Mike Tolbert,RB95,344.0
350,351.0,Dion Sims,TE42,345.0
351,352.0,Dexter McCluster,RB96,346.0
352,353.0,Brent Celek,TE43,347.0
353,354.0,Marcedes Lewis,TE44,348.0
354,355.0,Matt Asiata,RB97,349.0
355,356.0,Crockett Gillmore,TE45,351.0
356,357.0,Shaun Suisham,K32,352.0
357,358.0,Blaine Gabbert,QB44,353.0
358,359.0,Devin Hester,WR111,354.0
359,360.0,Jerricho Cotchery,WR112,356.0
360,361.0,Josh Lambo,K33,357.0
361,362.0,Drew Stanton,QB45,358.0
362,363.0,AJ McCarron,QB46,359.0
363,364.0,Travis Coons,K34,360.0
364,365.0,Tyler Clutts,RB98,362.0
365,366.0,Chris Hogan,WR113,363.0
366,367.0,Derek Anderson,QB47,364.0
367,368.0,Shaun Hill,QB48,365.0
368,369.0,Rashad Ross,WR114,366.0
369,370.0,Tennessee Titans,DST31,367.0
370,371.0,Ricardo Lockette,WR115,369.0
371,372.0,Jarryd Hayne,RB99,370.0
372,373.0,Travaris Cadet,RB100,371.0
373,374.0,Jeff Cumberland,TE46,372.0
374,375.0,Las Vegas Raiders,DST32,373.0
375,376.0,Andre Caldwell,WR116,374.0
376,377.0,Jonathan Grimes,RB101,375.0
377,378.0,Juwan Thompson,RB102,376.0
378,379.0,Dion Lewis,RB103,377.0
379,380.0,J.J. Nelson,WR117,378.0
380,381.0,Zach Zenner,RB104,379.0
381,382.0,Joseph Fauria,TE47,380.0
382,383.0,David Akers,K35,382.0
383,384.0,Bryce Brown,RB105,383.0
384,385.0,Ryan Williams,RB106,384.0
385,386.0,Tim Wright,TE48,385.0
386,387.0,Zach Hocker,K36,386.0
387,388.0,Matt Hasselbeck,QB49,387.0
388,389.0,Ted Ginn Jr.,WR118,388.0
389,390.0,Ryan Nassib,QB50,389.0
390,391.0,Luke McCown,QB51,390.0
391,392.0,Matt McGloin,QB52,391.0
392,393.0,Andre Roberts,WR119,392.0
393,394.0,Kellen Clemens,QB53,393.0
394,395.0,Colt McCoy,QB54,394.0
395,396.0,Vince Young,QB55,395.0
396,397.0,Sean Renfree,QB56,396.0
397,398.0,Kendall Hunter,RB107,397.0
398,399.0,Matt Schaub,QB57,398.0
399,400.0,Matt Moore,QB58,399.0
400,401.0,Steven Jackson,RB108,400.0
401,402.0,Michael Vick,QB59,401.0
402,403.0,Josh Huff,WR120,402.0
403,404.0,Deonte Thompson,WR121,403.0
404,405.0,Tarvaris Jackson,QB60,404.0
405,406.0,Scott Tolzien,QB61,405.0
406,407.0,Miles Austin,WR122,406.0
407,408.0,Mike Glennon,QB62,407.0
408,409.0,Jordan Gay,K37,408.0
409,410.0,T.J. Yates,QB63,409.0
410,411.0,Gary Barnidge,TE49,410.0
411,412.0,Michael Dyer,RB109,411.0
412,413.0,Rob Housler,TE50,412.0
413,414.0,Billy Cundiff,K38,413.0
414,415.0,Will Johnson,RB110,414.0
415,416.0,Antonio Andrews,RB111,415.0
416,417.0,Shonn Greene,RB112,416.0
417,418.0,Tyler Kroft,TE51,417.0
418,419.0,Brandon Pettigrew,TE52,418.0
419,420.0,Kris Brown,K39,419.0
420,421.0,Landry Jones,QB64,420.0
421,422.0,Lance Moore,WR123,422.0
422,423.0,Greg Salas,WR124,423.0
423,424.0,Corey Fuller,WR125,424.0
424,425.0,Dan Gronkowski,TE53,425.0
425,426.0,Dan Orlovsky,QB65,426.0
426,,,,
427,,,,
